"glad
","zadowolony
"
"hiswhen
","jego kiedy
"
"rumbling
","dudnienie
"
"assuming
","zarozumiały
"
"fastening
","zapięcie
"
"pillar
","filar
"
"cissy
","piecuch
"
"feeble-minded
","niedorozwinięty
"
"ss
","ss
"
"trifles
","drobiazgi
"
"agile
","zwinny
"
"yelled
","wrzasnął
"
"explore
","badać
"
"wood
","drewno
"
"palliate
","łagodzić
"
"leaking
","wyciek
"
"explored
","zbadane
"
"id
","ID
"
"turret
","wieżyczka
"
"sugar
","cukier
"
"slips
","kąpielówki
"
"rigours
","rygory
"
"duty
","obowiązek
"
"burgundy
","Burgundia
"
"involved
","zaangażowany
"
"movie
","film
"
"picture-books
","książki obrazkowe
"
"tucker
","wielkie żarcie
"
"embracing
","ogarnięcie
"
"drain
","drenaż
"
"pavementto
","pavementto
"
"nectarous
","nektarowy
"
"estrangement
","oziębienie stosunków
"
"unchildlike
","niepodobny do dziecka
"
"quand
","quand
"
"gelderland
","Geldria
"
"conducted
","przeprowadził
"
"stubborn
","uparty
"
"exhilarating
","ekscytujące
"
"meon
","ja na
"
"laughter
","śmiech
"
"endive
","endywia
"
"repetitions
","powtórzenia
"
"gallic
","galusowy
"
"partyall
","partyall
"
"expressing
","wyrażający
"
"resembled
","przypominał
"
"stirred
","wstrząśnięty
"
"gleam
","blask
"
"being
","istota
"
"abhorred
","wstrętny
"
"foretold
","przepowiedziane
"
"sylphs
","sylfy
"
"altogether
","całkowicie
"
"forces
","siły
"
"destiny
","przeznaczenie
"
"contorted
","wykrzywiony
"
"writing's
","pisanie
"
"crumbled
","rozpadł się
"
"childrenat
","dzieci
"
"bas
","bas
"
"grant
","dotacja
"
"ne
","ne
"
"bannerto
","bannerto
"
"further
","dalej
"
"spot
","miejsce
"
"relapsing
","nawracający
"
"suffering
","cierpienie
"
"cares
","dba
"
"bickering
","kłótnia
"
"ix
","IX
"
"convincing
","przekonywający
"
"masonthe
","masonthe
"
"re-trodden
","ponownie deptany
"
"funchal
","funchal
"
"preserver
","konserwator
"
"tap
","kran
"
"heavenly
","niebiański
"
"fragile-looking
","kruchy wygląd
"
"hastyyou
","hastyyou
"
"prayers
","modły
"
"pats
","klepie
"
"peach
","brzoskwinia
"
"endearing
","ujmujący
"
"added'
","dodany'
"
"predominates
","przeważa
"
"can't
","żargon
"
"dug
","dójka
"
"caper
","kapar
"
"mattera
","materia
"
"wasn't
","nie było
"
"imbecilewhen
","imbecilewhen
"
"vouchsafe
","raczyć coś zrobić
"
"mysteriously
","tajemniczy
"
"getwhen
","getwhen
"
"hurling
","rzucanie
"
"imaginationtall
","wyobraźnia wysoka
"
"truest
","najprawdziwszy
"
"church-like
","kościelny
"
"saying
","powiedzenie
"
"browse
","Przeglądaj
"
"seventy-and-seven
","siedemdziesiąt siedem
"
"leaves
","odchodzi
"
"kicked
","kopnięty
"
"specialist
","specjalista
"
"impasse
","impas
"
"formula
","formuła
"
"trays
","tace
"
"hague
","Haga
"
"half-told
","w połowie opowiedziana
"
"stern's
","rufa
"
"measured
","wymierzony
"
"chaise
","landara
"
"undulating
","falisty
"
"gratify
","zaspokoić
"
"insulting
","obraźliwy
"
"electrified
","zelektryzowany
"
"godwhat
","Boże, co
"
"milder
","łagodniejszy
"
"sobered
","wytrzeźwiał
"
"porte
","porte
"
"bounteous
","szczodry
"
"divert
","odwracać
"
"elders
","starsi
"
"carrot
","marchewka
"
"chiffoné
","szyfonowa
"
"destinies
","przeznaczenie
"
"presentall
","presentall
"
"sensed
","wyczuwalny
"
"vexation
","utrapienie
"
"met
","spotkał
"
"robed
","ubrany
"
"appreciated
","doceniony
"
"lowest
","najniższy
"
"rung
","szczebel drabiny
"
"tiresome
","nieznośny
"
"turbid
","mętny
"
"equipment
","ekwipunek
"
"sinews
","muskuły
"
"controvert
","spierać się
"
"loaf
","Bochenek
"
"sentence
","zdanie
"
"equal
","równy
"
"campaign
","kampania
"
"wedding-day
","dzień ślubu
"
"fend
","zatroszczyć się
"
"woesto
","woesto
"
"management
","zarządzanie
"
"frets
","progi
"
"goebbels
","goebbels
"
"fireplace
","kominek
"
"dussellooked
","dussellooked
"
"school-rules
","Regulamin szkolny
"
"lust
","żądza
"
"storm-beat
","rytm burzy
"
"daddy
","tatuś
"
"laugh
","śmiech
"
"childfallen
","dzieciństwo
"
"armsit
","armia
"
"nebuchadnezzar
","Nabuchodonozor
"
"illegitimate
","nieślubny
"
"suppose
","przypuszczać
"
"apple
","jabłko
"
"higher
","wyższy
"
"continual
","nieustanny
"
"interruption
","przerwanie
"
"crookedly
","krzywo
"
"chancel
","prezbiterium
"
"fell
","spadł
"
"statue
","statua
"
"moans
","jęki
"
"brazen
","nachalny
"
"mefor
","mefor
"
"located
","usytuowany
"
"youbecause
","ty, ponieważ
"
"kindness
","życzliwość
"
"stirs
","porusza się
"
"boadicea
","boadicea
"
"abandoned
","opuszczony
"
"decisive
","decydujący
"
"deutsch
","deutsch
"
"find
","odnaleźć
"
"flavour
","smak
"
"maurice
","Maurice
"
"pastille
","pastylka
"
"welfare
","dobrobyt
"
"step-mother
","macocha
"
"accusation
","zarzut
"
"picking
","owocobranie
"
"waned
","zanikło
"
"farming
","rolnictwo
"
"kneesocks
","podkolanówki
"
"possibly
","możliwie
"
"extravagance
","ekstrawagancja
"
"over-persuasion
","nadmierna perswazja
"
"jump
","skok
"
"breada
","breada
"
"rosamond
","rosamond
"
"nose
","nos
"
"similar
","podobny
"
"famous
","sławny
"
"lapdog
","piesek salonowy
"
"xiv
","XIV
"
"kewpie
","kewpie
"
"profoundly
","głęboko
"
"shaken
","przygotowany w shakerze
"
"terre
","terre
"
"riddle
","zagadka
"
"unrest
","niepokój
"
"transfixed
","przebity
"
"elfbut
","elfbut
"
"diner
","tania restauracja
"
"complexioned
","cera
"
"detect
","wykryć
"
"escape
","ucieczka
"
"street
","ulica
"
"invoked
","wywołane
"
"handsomest
","najprzystojniejszy
"
"boastful
","chełpliwy
"
"hello's
","przywitania
"
"monster
","potwór
"
"reliance
","poleganie
"
"informality
","nieformalność
"
"infatuatedly
","zauroczony
"
"excluded
","wyłączony
"
"continent
","kontynent
"
"assemblage
","zmontowanie
"
"guineas
","gwinei
"
"reverence
","cześć
"
"tests
","testy
"
"morale
","morale
"
"maman
","maman
"
"what's-her-name
","jak ona ma na imię
"
"censure
","cenzura
"
"wonder
","cud
"
"plate
","płyta
"
"antagonist
","antagonista
"
"handkerchiefs
","chusteczki
"
"safely
","bezpiecznie
"
"degraded
","zdegradowany
"
"lying
","kłamstwo
"
"role
","rola
"
"realms
","królestwa
"
"irids
","tęczówki
"
"client
","klient
"
"anne-in-her-own-right
","anne-in-her-own-right
"
"varensof
","varensof
"
"gregarious
","towarzyski
"
"supposethe
","przypuszczam
"
"pushed
","popchnięty
"
"cheered
","wiwatował
"
"hastened
","pospieszył
"
"blissful
","błogi
"
"forever
","na zawsze
"
"ago
","temu
"
"fireless
","bez ognia
"
"lefti
","lefti
"
"disappointmentwhere
","rozczarowanie
"
"caressing
","pieszczotliwy
"
"hewn
","ociosany
"
"mire
","błoto
"
"ladys
","panienki
"
"memorable
","niezapomniany
"
"anti-zionists
","antysyjoniści
"
"hyena
","hiena
"
"plague-cursed
","przeklęty przez zarazę
"
"regulated
","regulowane
"
"organized
","zorganizowany
"
"anti-semitism
","antysemityzm
"
"blacksmith
","kowal
"
"richness
","bogactwo
"
"limb
","kończyna
"
"foam
","pianka
"
"sorely
","bardzo
"
"obliged
","zobowiązany
"
"fleeting
","przelotny
"
"puis
","puis
"
"understandable
","zrozumiale
"
"wading
","brodzący
"
"animation
","animacja
"
"himthe
","himthe
"
"head
","głowa
"
"bustling
","gwar
"
"fervour
","zapał
"
"glue
","klej
"
"buttoned
","zapinana na guziki
"
"leads
","wskazówki
"
"lola
","lola
"
"revelations
","rewelacje
"
"determinedly
","zdecydowanie
"
"heavily
","ciężko
"
"consist
","składać się
"
"samuel
","samuel
"
"knife
","nóż
"
"reflection
","odbicie
"
"alfred
","Alfred
"
"branches
","gałęzie
"
"pad
","Podkładka
"
"rageous
","wściekły
"
"learn
","uczyć się
"
"eyres
","oczy
"
"angels
","anioły
"
"assessed
","ocenione
"
"well
","dobrze
"
"celluloid
","celuloid
"
"sympathizers
","sympatyków
"
"puffy
","podpuchnięte
"
"rivet
","nit
"
"agents
","agentów
"
"courtship
","zaloty
"
"irritating
","irytujący
"
"inward
","wewnętrzny
"
"packets
","pakiety
"
"delirious
","bredzący
"
"hunger
","głód
"
"scraping
","skrobanie
"
"alight
","wysiadać
"
"over-modesty
","nadmierna skromność
"
"mainly
","głównie
"
"creator
","twórca
"
"quartet
","kwartet
"
"five-hundred
","pięćset
"
"thwarted
","udaremniony
"
"xvi
","XVI
"
"buriedor
","pochowany lub
"
"crocks
","garnki
"
"pastors
","pastorzy
"
"puts
","stawia
"
"firmly
","mocno
"
"withdraw
","wycofać
"
"aside
","na bok
"
"gooseberries
","agrest
"
"solicitor
","adwokat
"
"spurred
","pobudzony
"
"humoured
","wesoły
"
"facility
","obiekt
"
"saidand
","powiedział i
"
"truer
","prawdziwsze
"
"exists
","istnieje
"
"napped
","drzemał
"
"penknife
","scyzoryk
"
"indiscretion
","niedyskrecja
"
"picturing
","obrazowanie
"
"kneels
","klęczy
"
"narrowly
","wąsko
"
"vestry
","zakrystia
"
"enamelled
","emaliowany
"
"housekeepers
","gospodynie
"
"blossom
","kwitnąć
"
"good-night
","dobranoc
"
"menu
","menu
"
"narrower
","węższy
"
"scaly
","łuszczący się
"
"dionysius
","dionizy
"
"listen
","słuchać
"
"items
","przedmiotów
"
"truthin
","prawda
"
"customers
","klienci
"
"exaggerate
","wyolbrzymiać
"
"attired
","rogaty
"
"strict
","ścisły
"
"expense
","koszt
"
"groups
","grupy
"
"fulfilled
","spełniony
"
"hasted
","pospiesznie
"
"linstant
","linstant
"
"post-boy
","post-boy
"
"medium-sized
","średniego rozmiaru
"
"extremities
","kończyny
"
"luke
","Łukasz
"
"few
","mało
"
"fawn
","płowy
"
"kinds
","rodzaje
"
"haughtiest
","najbardziej wyniosły
"
"faint
","słaby
"
"species
","gatunki
"
"responsibility
","odpowiedzialność
"
"insisting
","nalegając
"
"cave
","jaskinia
"
"untrue
","nieprawdziwy
"
"ijmuiden
","ijmuiden
"
"vex
","drażnić
"
"throbbed
","pulsował
"
"trade
","handel
"
"navons
","Navons
"
"sobriety
","trzeźwość
"
"ridges
","grzbiety
"
"dried-up
","wysuszony
"
"substitutes
","substytuty
"
"nothingmy
","nicmy
"
"restore
","przywracać
"
"ribaldry
","grubiaństwo
"
"fatter
","grubszy
"
"doled
","doled
"
"unconsciousness
","nieprzytomność
"
"salt
","Sól
"
"ridged
","prążkowany
"
"knawnt
","knawnt
"
"washtub
","balia
"
"attempting
","próbuje
"
"salesman
","sprzedawca
"
"othereliza
","othereliza
"
"lab
","laboratorium
"
"well-informed
","dobrze poinformowany
"
"tower
","wieża
"
"clanked
","brzęknął
"
"blows
","ciosy
"
"ariel
","ariel
"
"indomitable
","nieposkromiony
"
"linoleum
","linoleum
"
"snooty
","snobistyczny
"
"discern
","rozeznać
"
"cargo
","ładunek
"
"benign-looking
","łagodnie wyglądający
"
"shrieked
","wrzasnął
"
"temptations
","pokusy
"
"embroidering
","haft
"
"quack
","Kwak
"
"continue
","kontyntynuj
"
"filette
","filet
"
"gargles
","gardła
"
"illtemper
","zły
"
"dissipation
","rozpusta
"
"supernatural
","nadprzyrodzony
"
"particular
","szczególny
"
"lip
","warga
"
"sally
","wypad
"
"soundly
","mocno
"
"quarrel
","sprzeczka
"
"disease
","choroba
"
"paler
","bledszy
"
"denied
","odmówiono
"
"book-learned
","nauczył się książki
"
"renovation
","renowacja
"
"encumber
","obciążyć
"
"thirteen
","trzynaście
"
"secreted
","sekret
"
"ushered
","wprowadzony
"
"hauled
","ciągnięty
"
"hollyhocks
","malwy
"
"havannah
","havannah
"
"sever
","zerwać
"
"oblivion
","zapomnienie
"
"impolite
","nieuprzejmy
"
"plotting
","konspiratorstwo
"
"ie
","to znaczy
"
"possessions
","dobytek
"
"dint
","wgięcie
"
"master-key
","klucz główny
"
"pocket-comb
","grzebień kieszonkowy
"
"carping
","karanie
"
"sayi
","sayi
"
"gramophone
","gramofon
"
"legacy
","dziedzictwo
"
"high-ranking
","wysokiej rangi
"
"march-spirit
","duch marszu
"
"corridor
","korytarz
"
"ameliorated
","ulepszone
"
"mouthed
","bezgłośnie
"
"practising
","praktykujący
"
"grating
","krata
"
"miller
","młynarz
"
"constitution
","konstytucja
"
"cabinet
","gabinet
"
"meto
","ja też
"
"upwards
","w górę
"
"hep's
","hep's
"
"amid
","wśród
"
"mistressesin
","kochanki
"
"guided
","prowadzony
"
"pearlgrey
","perłowy szary
"
"lovely
","śliczny
"
"insensitive
","niewrażliwy
"
"schiphol
","schiphol
"
"choler
","cholerny
"
"skein
","motek
"
"guides
","przewodniki
"
"afterit
","po tym
"
"comradeone
","towarzyszu
"
"sloth
","Leniwiec
"
"concentrated
","stężony
"
"bay
","zatoka
"
"shaded
","zacieniony
"
"shrubs
","krzewy
"
"paramount
","najważniejszy
"
"accused
","oskarżony
"
"bid
","oferta
"
"import
","import
"
"surprisingly
","zaskakująco
"
"cobwebs
","pajęczyny
"
"lappets
","nakrapiane
"
"marvel
","podziwiać
"
"listeners
","słuchacze
"
"cabarets
","kabarety
"
"watcher
","obserwator
"
"luykenstraat
","luykenstraat
"
"bodybut
","bodybut
"
"ingram
","ingram
"
"flannel
","flanela
"
"bracelet
","bransoletka
"
"divested
","zbyte
"
"easel
","sztaluga
"
"mustard
","musztarda
"
"carte
","kwarta
"
"treea
","treea
"
"parenthèse
","parenthèse
"
"images
","obrazy
"
"discoveries
","odkrycia
"
"lucre
","zysk
"
"suspecting
","podejrzewający
"
"kindest
","najmilszy
"
"neat
","schludny
"
"accosted
","zaczepiony
"
"firing
","ostrzał
"
"discover
","odkryć
"
"fish
","ryba
"
"substance
","substancja
"
"starting
","startowy
"
"feeblest
","najsłabszy
"
"means
","znaczy
"
"heavenin
","niebo
"
"skilful
","umiejętny
"
"understands
","rozumie
"
"precision
","precyzja
"
"accomplish
","ukończyć
"
"intellectually
","umysłowo
"
"sexual
","seksualny
"
"tenses
","czasy
"
"guardedness
","czujność
"
"ward
","Oddział
"
"disdain
","pogarda
"
"hour
","godzina
"
"merchant
","Kupiec
"
"condemned
","skazany
"
"inanimate
","nieożywiony
"
"stuck-up
","zatkany
"
"specially
","specjalnie
"
"medical
","medyczny
"
"amber-coloured
","w kolorze bursztynu
"
"towhen
","do kiedy
"
"conscience
","sumienie
"
"mental
","psychiczny
"
"web
","sieć
"
"mad
","szalony
"
"lazy
","leniwy
"
"embarrassment
","zakłopotanie
"
"freed
","uwolniony
"
"saboteur
","sabotażysta
"
"rug
","dywan
"
"adduced
","przywiódł
"
"desirous
","pragnący
"
"seen
","widziany
"
"pages
","stron
"
"long-cherished
","długo ceniony
"
"befriended
","zaprzyjaźniony
"
"silent
","cichy
"
"holds
","trzyma
"
"stormy
","burzliwy
"
"festooned
","girlanda
"
"counterpane
","kołdra
"
"inspection
","kontrola
"
"bothering
","kłopotliwy
"
"badinage
","żarty
"
"erect
","wyprostowany
"
"reliable
","niezawodny
"
"dreamt
","marzyłem
"
"mostly
","przeważnie
"
"husbandthat
","mąż, który
"
"womankind
","ród niewieści
"
"carelessness
","nieostrożność
"
"beams
","belki
"
"fates
","losy
"
"labouring
","pracujący
"
"conveyed
","przekazane
"
"plunged
","pogrążył się
"
"unusual
","niezwykły
"
"fervent
","żarliwy
"
"whitcourage
","whitcourage
"
"erring
","błądzący
"
"big
","duży
"
"premature
","przedwczesny
"
"scrutinised
","zbadane
"
"kingdom
","Królestwo
"
"five-thirty
","pięć trzydzieści
"
"complimenting
","komplementy
"
"suitors
","zalotników
"
"crosseda
","crosseda
"
"distinguishing
","charakterystyczny
"
"mindful
","Świadomy
"
"contemporary
","współczesny
"
"fetched
","pobrane
"
"stateliest
","najbardziej statyczny
"
"submission
","zgłoszenie
"
"accompanies
","towarzyszy
"
"crash
","wypadek
"
"animating
","animowanie
"
"calls
","wezwania
"
"wearing
","ma na sobie
"
"remove
","usunąć
"
"remarkable
","znakomity
"
"recurrence
","nawrót
"
"auspices
","auspicje
"
"descend
","schodzić
"
"hideaway
","schronienie
"
"baroness
","baronowa
"
"entrusted
","powierzony
"
"gipsies
","Cyganów
"
"sessions
","sesje
"
"vast
","ogromny
"
"spends
","wydaje
"
"placesuch
","miejscami
"
"itself
","samo
"
"porch
","ganek
"
"all's
","wszystko
"
"rat
","szczur
"
"margot's
","margota
"
"beak
","dziób
"
"smelling-bottle
","butelka zapachowa
"
"barrenly
","jałowy
"
"zig-zag
","zygzak
"
"farther
","dalej
"
"puzzle
","puzzle
"
"lowton
","Lowton
"
"stoop
","pochylenie
"
"uniformly
","jednolicie
"
"crucibles
","tygle
"
"minimum
","minimum
"
"indiscriminately
","bezkrytycznie
"
"crescent-destiny
","półksiężyc-przeznaczenie
"
"wealthygorged
","bogactwo
"
"sirher
","sirher
"
"illustration
","ilustracja
"
"sobbed
","szlochał
"
"cumberland
","cumberland
"
"everyone's
","każdy
"
"penetrating
","przenikliwy
"
"never
","nigdy
"
"speaks
","mówi
"
"agree
","Zgodzić się
"
"deaths
","zgony
"
"duplicate
","duplikować
"
"disdainful
","pogardliwy
"
"earthquakeblack
","trzęsienie ziemi
"
"shaft
","wał
"
"orphans
","sieroty
"
"ponder
","rozważać
"
"superficiality
","powierzchowność
"
"bowls
","kręgle
"
"ingrameven
","ingrameven
"
"humble
","pokorny
"
"dessert-service
","serwis deserowy
"
"perplex
","pogmatwać
"
"to-morrows
","jutro
"
"mockery
","kpina
"
"turk
","Turek
"
"morocco
","Maroko
"
"curledcurled
","zakręcony
"
"shook
","wstrząsnął
"
"eighteenth
","osiemnasty
"
"thirteenth
","trzynasty
"
"distrustfully
","nieufnie
"
"envious
","zazdrosny
"
"advisable
","wskazany
"
"breakfast-room
","pokój śniadaniowy
"
"latest
","najnowszy
"
"agreement
","umowa
"
"fit
","dopasowanie
"
"cried
","płakał
"
"parishioners
","parafianie
"
"fellow-feeling
","współczucie
"
"clever
","sprytny
"
"hercules
","herkules
"
"stowed
","schowane
"
"attachment
","przywiązanie
"
"characterised
","scharakteryzowany
"
"blunt
","tępy
"
"meit
","meit
"
"punch
","stempel
"
"powerswhere
","powerswhere
"
"pharmacist
","farmaceuta
"
"germinate
","kiełkować
"
"vexing
","dokuczliwy
"
"lower
","niższy
"
"apostolorum
","apostolorum
"
"masked
","zamaskowany
"
"portraying
","portretowanie
"
"mementoes
","pamiątki
"
"averse
","niechętny
"
"officers
","funkcjonariusze
"
"mouse
","mysz
"
"golden-eyed
","złotooki
"
"marched
","maszerował
"
"motives
","motywy
"
"cashmeres
","kaszmir
"
"discovery
","odkrycie
"
"unimpeachable
","bez zarzutu
"
